,Image,Acc,Dice_Coef,Jaccard,Recall,Precision
61,cju45v0pungu40871acnwtmu5,0.981903076171875,0.9312144762788541,0.8712828304753636,0.9421429409693698,0.9205366357069144
62,cju76erapykj30871x5eaxh4q,0.9859466552734375,0.9652229732281087,0.9327835352503284,0.99062160905286,0.941094175686621
63,cju76l27oyrw907551ri2a7fl,0.9273223876953125,0.8690872110601106,0.7684829631069848,0.9988627748294162,0.7691559231330577
64,cju76lsehyia10987u54vn8rb,0.9807891845703125,0.8307113083232486,0.7104415823367065,0.9865857553497285,0.7173711100789596
65,cju76o55nymqd0871h31sph9w,0.8846893310546875,0.0007933359777865925,0.0003968253968253968,0.01079136690647482,0.0004118050789293068
66,cju77196iyshb0850ycbto50a,0.9721221923828125,0.9454317374033034,0.8965107057890563,0.9621276595744681,0.929305384299219
67,cju772304yw5t0818vbw8kkjf,0.9863739013671875,0.8808856876083767,0.7871275327771157,0.9827380952380952,0.7981629199903312
68,cju773hsyyosz0817pk1e7sjq,0.9858856201171875,0.9310781610908279,0.8710441935034156,0.9955385595920969,0.8744576627011896
69,cju774fmayxif0818u2g79usw,0.9896392822265625,0.9031245541446711,0.8233610822060354,0.964644925327644,0.8489806866952789
70,cju7787c5yy3l080159mwqsnj,0.9867706298828125,0.8759834072378773,0.779333163654874,0.9674565560821485,0.8003136434918976
71,cju77afzlz3kp07550x5nafzs,0.7738189697265625,0.7306231486361241,0.5755762347888332,0.5839530560074366,0.9756831529388924
72,cju77b3wyz4160755qis4ljsb,0.992767333984375,0.901496259351621,0.8206583427922814,0.9430434782608695,0.8634554140127388
73,cju77bvg0yv4r0987yh60xmjo,0.98748779296875,0.9161039492531206,0.8451953936190296,0.9909251881363436,0.8517884322678844
74,cju77g99iyxc00817zqi2ppor,0.96484375,0.9292991285135632,0.8679353433451794,0.904,0.9560550574567496
75,cju77idwfz36d0871tzfzz51i,0.9803924560546875,0.9467930934536871,0.8989621009592703,0.9932238728173052,0.9045094936708861
76,cju77j66ez52p08019xygi0co,0.9907379150390625,0.840136950223861,0.7243415077202543,0.9672528805336568,0.7425512104283054
77,cju77k828z46w0871r0avuoo9,0.987884521484375,0.9336342360414577,0.875529079793071,0.9857042004941757,0.8867894569704668
78,cju77q10sz9ug0801449wu1nu,0.94879150390625,0.66798575385833,0.5014854426619133,0.5690207315017698,0.808622754491018
79,cju77re6fz5bb0817vp9redjg,0.940643310546875,0.7284278134599274,0.5728560448007027,0.9998083556918359,0.5729189545354711
80,cju77t0razbvm080106o56289,0.6954803466796875,0.608233053925129,0.4370222009083472,0.44129208682276533,0.9783391221976634
81,cju77u1sjz77b0817ft44r3fk,0.98126220703125,0.9178924846215565,0.8482451804251112,0.9737551425734147,0.8680915644365752
82,cju77vvcwzcm50850lzoykuva,0.9864654541015625,0.9058086439418074,0.827833850931677,0.9488320355951056,0.8665176757415685
83,cju783tmkzkqu081803g7q5vk,0.98443603515625,0.9296163400496826,0.8684889118102115,0.9949778434268833,0.8723128723128724
84,cju784jpdzeae0987q5ypq883,0.9889678955078125,0.9452231229638609,0.8961356126993248,0.9461550128924617,0.9442930669088707
85,cju785htizjzo08017tvlhtg4,0.9907989501953125,0.951956019440682,0.9083168617910902,0.9859712823898333,0.9202094886013555
86,cju787jnjzjuj0871p94nck9g,0.9842987060546875,0.9357557595055254,0.8792678634283703,0.9988004798080767,0.8801973220577872
87,cju83h9ysjwe808716nt35oah,0.991058349609375,0.8920412675018423,0.8051213834386431,0.9180887372013652,0.867431028305267
88,cju83ipu3jwpx0801z5pvguf8,0.7548065185546875,0.16311650434873182,0.0888006804649844,0.9744866210329807,0.08900761623280663
89,cju83k8fyjsxr0817d6nxs6r4,0.9886932373046875,0.9459479174265081,0.897439446366782,0.9903772720329922,0.9053337056688076
90,cju83kxitjv340987z09m0ezy,0.9932403564453125,0.9038419795962666,0.8245544554455445,0.9459336665152204,0.8653366583541147
91,cju83mki1jv5w0817kubxm31r,0.7636871337890625,0.44950769558881026,0.289912883998166,0.38180061590483666,0.5464051157967508
92,cju83nwu1jxte0987h1krpfmv,0.9779205322265625,0.882881424524484,0.7903202434429792,0.9990840813335776,0.790893271461717
93,cju83qd0yjyht0817ktkfl268,0.884307861328125,0.8347788189147963,0.7164123279473369,0.7403656603919446,0.9567910485039213
94,cju83rcnzkbsj0755x5anfrcg,0.985076904296875,0.9159360495100567,0.8449096098953378,0.9932885906040269,0.8497607655502393
95,cju83syhdk6gs0801rf1rekdl,0.914337158203125,0.6580582287732977,0.4903776325344953,0.9964951116030253,0.49122487951259436
96,cju83u9ftk3ni0987qnhlcinv,0.959228515625,0.9279978442468337,0.8656678900005027,0.9149309245483528,0.9414434117003827
97,cju83vvmik9wa08710yeh7cuk,0.987884521484375,0.9123620309050774,0.8388471686624721,0.9978271366489618,0.8403822692151282
98,cju83wwn1k55e0850kw6i2d81,0.988494873046875,0.9143376505339695,0.8421933863541231,0.9965329370975731,0.8446683459277917
99,cju83yddek68q0850d2x7zfkm,0.9647979736328125,0.8924024066041696,0.8057099545224861,0.8949485500467727,0.8898707097014231
100,cju8402x1kcy70801t6kz6bdi,0.9795074462890625,0.9375261664418291,0.8823992994746059,0.9880380429453868,0.891927774827403
101,cju8418jhkf7d0818ga2v0xq0,0.907440185546875,0.8942431744482026,0.8087159434914228,0.9948793544883234,0.8120962634578848
102,cju8432cmkgq90871cxe4iptl,0.97662353515625,0.9597710204295993,0.9226536073105468,0.9844852663901309,0.9362672268046519
103,cju843yjskhq30818qre4rwm2,0.977325439453125,0.7402097902097902,0.5875659172911463,0.7056666666666667,0.7783088235294118
104,cju846ec0kj7z08012o10klrb,0.952392578125,0.6589418452120682,0.49135963482230194,0.518582243633861,0.9034772182254197
105,cju847pxykriq0755268ktrk2,0.8800201416015625,0.5910438445935403,0.4194905869324474,0.4508808125694334,0.8576603773584905
106,cju849c23kgnk0817cgv2hw1e,0.9755706787109375,0.8528357385789135,0.7434294871794872,0.9976344086021506,0.7447423342430567
107,cju84aoa3ktwn0755pfl4gfwd,0.8935394287109375,0.8177043869046065,0.6916243093922652,0.7234062225509685,0.940271601970917
108,cju84dsvaklpx098750hp83x4,0.6903839111328125,0.28053753146828353,0.16315420464387348,0.1673788872434948,0.8660245183887916
109,cju84ffdzkrjn08183jh1fxmb,0.984100341796875,0.8917964693665628,0.8047226386806596,0.967771016452558,0.8268823416137108
110,cju84gpefknwm098714oq8q61,0.977325439453125,0.9078735275883447,0.8312897366030881,0.9325012735608762,0.8845131674317468
